#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	tot_C_cnts	Sky/Pixel_T1	X(FITS)_T1	Y(FITS)_T1	AIRMASS
2459473.104546	0.995485	0.002123	4112554.757206	194.142913	1560.565429	1019.007508	1.479469
2459473.108916	0.999700	0.002141	4054868.949478	188.316715	1564.006319	1018.753300	1.450085
2459473.113294	1.006212	0.002113	4145879.451992	180.488772	1564.916539	1017.916578	1.422262
2459473.117674	1.001173	0.002112	4118437.638899	174.524507	1565.207242	1017.715406	1.395930
2459473.122055	0.999725	0.002109	4114490.452990	169.765171	1564.881353	1015.670995	1.371084
2459473.126488	0.999231	0.002102	4122918.152569	165.442257	1565.344277	1016.014504	1.347269
2459473.130871	1.001737	0.002103	4122975.374312	161.864864	1563.374344	1017.655608	1.325003
2459473.135257	0.997667	0.002076	4195805.067240	160.565860	1562.676336	1016.771658	1.303962
2459473.139636	0.998113	0.002099	4107324.282817	155.709372	1562.817626	1018.105064	1.284077
2459473.144017	0.995164	0.002068	4195297.556673	152.212811	1563.110090	1018.730083	1.265260
2459473.148436	0.995811	0.002071	4183826.976687	151.634952	1564.159993	1019.480830	1.247343
2459473.152816	0.995211	0.002062	4202777.603409	147.425949	1564.916432	1018.191140	1.230553
2459473.157199	0.988449	0.002046	4234473.823271	146.300484	1565.673394	1018.452960	1.214688
2459473.161572	0.989633	0.002056	4196607.577437	143.082340	1566.670017	1017.864036	1.199743
2459473.165962	0.988553	0.002038	4250104.612687	140.882164	1564.951180	1019.122667	1.185592
2459473.170343	0.984298	0.002043	4221183.570779	142.099379	1564.931749	1017.126177	1.172269
2459473.174724	0.992293	0.002050	4221479.383451	141.050829	1562.937987	1016.368779	1.159748
2459473.179158	0.987289	0.002048	4207641.107255	139.319047	1561.872420	1018.859282	1.147819
2459473.183556	0.987683	0.002054	4183013.817967	137.003459	1561.006836	1017.022169	1.136730
2459473.187935	0.987790	0.002036	4235436.427450	134.041079	1560.677563	1016.903118	1.126359
2459473.192304	0.979325	0.002046	4165764.803939	128.745793	1560.683528	1017.178684	1.116710
2459473.196698	0.982635	0.002031	4213496.511942	123.602340	1561.302209	1016.108625	1.107632
2459473.201078	0.986080	0.002040	4178341.781862	118.074854	1562.460465	1016.521975	1.099211
2459473.205465	0.979269	0.002025	4202304.863818	114.701042	1562.373568	1015.759212	1.091396
2459473.209841	0.989924	0.002030	4221635.809569	116.254726	1563.464085	1015.820642	1.084178
2459473.214238	0.989504	0.002046	4171230.408252	119.709500	1563.324153	1019.213342	1.077513
2459473.218623	1.010030	0.002073	4152863.359032	123.005502	1562.728570	1019.685703	1.071422
2459473.222989	0.981264	0.002049	4147789.614708	124.820916	1560.868284	1021.130340	1.065900
2459473.227373	0.979196	0.002045	4159611.711891	126.894666	1560.655481	1021.034486	1.060893
2459473.231753	0.983628	0.002067	4105751.611935	128.913455	1560.348623	1020.183538	1.056411
2459473.236156	0.977881	0.002082	4043066.222988	129.825808	1559.867992	1020.240058	1.052428
2459473.240543	0.986587	0.002115	3970965.199869	132.981491	1560.000085	1016.718007	1.048969
2459473.244926	0.982704	0.002292	3473200.634166	135.906426	1560.553833	1015.791604	1.046014
2459473.249309	0.986677	0.002601	2851559.391363	140.275694	1561.278867	1014.790174	1.043552
2459473.253692	0.988261	0.002920	2388871.030387	142.800522	1561.793282	1013.745293	1.041580
2459473.258053	0.988831	0.003137	2148476.950998	146.185951	1560.570906	1013.368645	1.040099
2459473.262418	1.007274	0.003319	1992960.082719	145.437171	1560.412519	1015.412146	1.039096
2459473.266793	1.008459	0.003717	1689281.887118	145.401405	1560.248540	1016.297425	1.038569
2459473.271155	1.004700	0.003952	1544504.337125	145.941466	1558.187251	1018.437259	1.038519
2459473.275536	1.005233	0.004025	1503214.540857	145.693370	1559.730853	1019.427799	1.038946
2459473.279912	0.990366	0.003928	1553349.134706	148.722667	1559.794134	1021.288636	1.039851
2459473.284289	0.998296	0.003873	1599981.313875	156.555248	1559.956333	1021.474068	1.041238
2459473.288655	1.000422	0.004328	1391472.569405	172.370237	1559.960836	1019.611559	1.043105
2459473.293033	1.003711	0.004609	1330720.047379	214.801978	1559.959250	1018.164096	1.045462
