#BJD_TDB	rel_flux_T1_dfn	rel_flux_err_T1_dfn
2459503.763706	1.006456	0.005969
2459503.767316	1.005892	0.005583
2459503.770923	0.997158	0.005659
2459503.774530	1.001157	0.005655
2459503.778174	0.997169	0.006101
2459503.781786	0.990352	0.005956
2459503.785396	0.992756	0.005644
2459503.788996	0.994281	0.005423
2459503.792601	0.994888	0.005425
2459503.796202	0.996284	0.005296
2459503.799877	1.003793	0.005084
2459503.803478	1.002961	0.005219
2459503.807076	0.983733	0.005386
2459503.810680	0.992468	0.005125
2459503.814283	0.992489	0.005045
2459503.817891	0.990730	0.005035
2459503.821501	0.982768	0.004938
2459503.825100	0.980303	0.004896
2459503.828711	0.987428	0.004803
2459503.832315	0.991250	0.004802
2459503.835941	0.979552	0.004651
2459503.839544	0.970970	0.004658
2459503.843167	0.982042	0.004616
2459503.846770	0.986925	0.004498
2459503.850372	0.988211	0.007326
2459503.853976	0.983493	0.011328
2459503.857580	0.979784	0.012047
2459503.861181	0.979030	0.005235
2459503.864784	0.980593	0.006485
2459503.871981	0.984770	0.011872
2459503.875592	0.983310	0.007367
2459503.879193	0.982238	0.005609
2459503.882793	0.980686	0.005461
2459503.886402	0.990391	0.009791
2459503.890003	0.991831	0.005547
2459503.893603	0.985901	0.004455
2459503.897207	0.979407	0.004314
2459503.900817	0.993793	0.005146
2459503.904419	0.978820	0.004677
2459503.908018	0.987296	0.004271
2459503.911620	0.995376	0.004298
2459503.915224	0.990054	0.004339
2459503.918825	1.002170	0.004411
2459503.922425	1.014447	0.004431
2459503.926029	0.998305	0.004391
2459503.929629	0.993172	0.004353
2459503.933232	0.996905	0.004358
2459503.936833	1.005766	0.004381
2459503.940435	0.995159	0.004377
2459503.944039	0.997509	0.004398
2459503.947636	0.990141	0.004389
2459503.951268	1.011313	0.004411
2459503.954870	1.000931	0.004436
2459503.958481	1.006331	0.004399
2459503.962086	0.992759	0.004491
2459503.965684	1.002154	0.004973
