#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	Y(FITS)_T1
2459503.763706	1.005847	0.005966	982.518507
2459503.767316	1.001385	0.005558	981.109271
2459503.770923	0.991631	0.005628	980.743952
2459503.774530	0.997501	0.005634	981.418808
2459503.778174	0.994085	0.006082	981.627742
2459503.781786	0.987286	0.005937	981.637100
2459503.785396	0.991985	0.005640	982.466132
2459503.788996	0.995401	0.005429	983.149313
2459503.792601	0.995416	0.005428	982.935097
2459503.796202	0.998594	0.005308	983.579086
2459503.799877	1.006038	0.005095	983.552088
2459503.803478	1.004156	0.005225	983.172551
2459503.807076	0.985108	0.005393	983.246285
2459503.810680	0.990249	0.005113	981.942731
2459503.814283	0.990919	0.005037	982.177280
2459503.817891	0.989191	0.005027	982.189414
2459503.821501	0.981245	0.004930	982.198643
2459503.825100	0.977751	0.004883	981.827618
2459503.828711	0.984932	0.004791	981.844456
2459503.832315	0.988835	0.004790	981.872084
2459503.835941	0.977647	0.004641	982.061976
2459503.839544	0.969591	0.004652	982.255882
2459503.843167	0.981919	0.004616	982.705413
2459503.846770	0.988561	0.004505	983.339284
2459503.850372	0.991028	0.007347	983.765972
2459503.853976	0.986093	0.011358	983.689509
2459503.857580	0.983786	0.012096	984.198210
2459503.861181	0.981866	0.005250	983.776620
2459503.864784	0.982542	0.006498	983.455005
2459503.871981	0.987386	0.011904	983.694566
2459503.875592	0.983887	0.007371	982.957863
2459503.879193	0.985461	0.005627	983.915280
2459503.882793	0.982216	0.005470	983.303671
2459503.886402	0.991861	0.009806	983.277910
2459503.890003	0.992511	0.005551	982.991444
2459503.893603	0.986790	0.004459	983.069488
2459503.897207	0.979992	0.004317	982.962400
2459503.900817	0.994776	0.005151	983.099942
2459503.904419	0.979907	0.004682	983.144197
2459503.908018	0.989806	0.004282	983.655250
2459503.911620	0.999011	0.004314	984.058189
2459503.915224	0.994470	0.004359	984.343335
2459503.918825	1.008690	0.004440	985.098641
2459503.922425	1.020746	0.004458	985.013471
2459503.926029	1.005311	0.004422	985.276475
2459503.929629	1.000946	0.004387	985.556380
2459503.933232	1.002226	0.004382	984.667641
2459503.936833	1.012092	0.004409	985.027064
2459503.940435	0.999465	0.004396	984.301269
2459503.944039	1.000104	0.004409	983.681228
2459503.947636	0.993270	0.004403	983.877617
2459503.951268	1.011851	0.004413	982.931295
2459503.954870	1.004230	0.004451	983.934259
2459503.958481	1.005316	0.004394	982.372133
2459503.962086	0.996067	0.004506	983.941214
2459503.965684	1.005107	0.004988	983.808906
