 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	AIRMASS2	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_T3	rel_flux_T4	rel_flux_C5	rel_flux_C6	rel_flux_T7	rel_flux_T8	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_T3	rel_flux_err_T4	rel_flux_err_C5	rel_flux_err_C6	rel_flux_err_T7	rel_flux_err_T8	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_T3	rel_flux_SNR_T4	rel_flux_SNR_C5	rel_flux_SNR_C6	rel_flux_SNR_T7	rel_flux_SNR_T8	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	RA_C2	DEC_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_T3	Y(IJ)_T3	X(FITS)_T3	Y(FITS)_T3	RA_T3	DEC_T3	Source-Sky_T3	Source_Error_T3	Source_SNR_T3	Peak_T3	Mean_T3	Sky/Pixel_T3	FWHM_T3	Width_T3	X-Width_T3	Y-Width_T3	Angle_T3	Roundness_T3	X(IJ)_T4	Y(IJ)_T4	X(FITS)_T4	Y(FITS)_T4	RA_T4	DEC_T4	Source-Sky_T4	Source_Error_T4	Source_SNR_T4	Peak_T4	Mean_T4	Sky/Pixel_T4	FWHM_T4	Width_T4	X-Width_T4	Y-Width_T4	Angle_T4	Roundness_T4	X(IJ)_C5	Y(IJ)_C5	X(FITS)_C5	Y(FITS)_C5	RA_C5	DEC_C5	Source-Sky_C5	Source_Error_C5	Source_SNR_C5	Peak_C5	Mean_C5	Sky/Pixel_C5	FWHM_C5	Width_C5	X-Width_C5	Y-Width_C5	Angle_C5	Roundness_C5	X(IJ)_C6	Y(IJ)_C6	X(FITS)_C6	Y(FITS)_C6	RA_C6	DEC_C6	Source-Sky_C6	Source_Error_C6	Source_SNR_C6	Peak_C6	Mean_C6	Sky/Pixel_C6	FWHM_C6	Width_C6	X-Width_C6	Y-Width_C6	Angle_C6	Roundness_C6	X(IJ)_T7	Y(IJ)_T7	X(FITS)_T7	Y(FITS)_T7	RA_T7	DEC_T7	Source-Sky_T7	Source_Error_T7	Source_SNR_T7	Peak_T7	Mean_T7	Sky/Pixel_T7	FWHM_T7	Width_T7	X-Width_T7	Y-Width_T7	Angle_T7	Roundness_T7	X(IJ)_T8	Y(IJ)_T8	X(FITS)_T8	Y(FITS)_T8	RA_T8	DEC_T8	Source-Sky_T8	Source_Error_T8	Source_SNR_T8	Peak_T8	Mean_T8	Sky/Pixel_T8	FWHM_T8	Width_T8	X-Width_T8	Y-Width_T8	Angle_T8	Roundness_T8
1	elp0m411-kb92-20211015-0417-e91_out.fits	1.000000	0.000000	59503.758948	2459503.758948	2459503.757210	2459503.762912	2459503.763706	2.310802	2.305093	25.567581	NaN	300.288000	4.093854	-14.925072	8.915990	12.000000	22.000000	33.000000	0.294649	0.687602	0.392154	0.592138	0.420583	0.421450	0.435119	0.462531	0.002003	0.004284	0.002217	0.002703	0.002963	0.002961	0.002309	0.002377	147.130929	160.494859	176.914679	219.045663	141.960693	142.340299	188.463617	194.596768	405222.976632	1267.807123	1538.134251	1059.903829	1538.634251	982.596171	4.093430	-14.926844	119398.349477	452.389342	720.419814	165.734405	2051.262207	263.928299	470.034815	1657.000000	9.001709	11.358390	11.086762	11.630018	65.089075	0.994510	1758.108886	1431.451193	1758.608886	611.048807	4.089377	-14.961731	165105.312187	752.252965	219.481105	2212.279541	364.962869	467.813576	8.923326	11.526766	11.269128	11.784405	64.867160	0.995114	829.724486	1036.660528	830.224486	1005.839472	4.093671	-14.814764	158909.697251	748.084267	212.422189	2270.239990	351.267553	467.712695	8.775462	11.307630	10.995519	11.619740	76.512882	0.996169	761.768816	1210.302358	762.268816	832.197642	4.091776	-14.804056	239947.895065	797.733281	300.787119	3100.236084	530.401300	469.381189	8.992891	11.245822	11.009309	11.482334	69.187468	0.996836	2317.111480	1045.902167	2317.611480	996.597833	4.093596	-15.050079	119971.830566	722.679783	166.009668	1796.429565	265.195970	471.689212	8.819167	11.230211	10.927381	11.533041	63.709354	0.992134	2171.808293	507.591677	2172.308293	1534.908323	4.099472	-15.026938	120145.833879	720.544453	166.743125	1810.633911	265.580602	468.394912	8.405743	11.294911	11.129638	11.460183	58.548787	0.995874	1067.890881	1960.528598	1068.390881	81.971402	4.083595	-14.852629	176320.158798	755.625324	233.343369	2289.692871	389.753123	464.051573	9.367692	11.461427	11.249213	11.673641	60.892589	0.995061	959.060393	953.555326	959.560393	1088.944674	4.094580	-14.835204	187428.072289	764.077880	245.299697	2509.819580	414.307002	468.949847	9.041934	11.297769	11.006533	11.589005	66.330762	0.994220
2	elp0m411-kb92-20211015-0418-e91_out.fits	2.000000	0.000000	59503.762558	2459503.762558	2459503.760820	2459503.766522	2459503.767316	2.239821	2.234722	26.444644	NaN	300.284000	4.093866	-14.925308	7.777330	12.000000	22.000000	33.000000	0.295166	0.677208	0.399555	0.597690	0.434951	0.414662	0.442761	0.470533	0.001909	0.004030	0.002127	0.002604	0.002877	0.002793	0.002224	0.002293	154.608551	168.023257	187.852762	229.511417	151.183524	148.489397	199.072324	205.169934	423723.327488	1263.035006	1536.609500	1061.293088	1537.109500	981.206912	4.093426	-14.926839	125068.860893	452.389342	717.912366	174.211877	2062.631348	276.462881	456.301810	1598.000000	8.248351	10.566304	10.120004	11.012605	70.232070	0.988045	1756.609343	1432.725396	1757.109343	609.774604	4.089376	-14.961732	171087.153155	750.823741	227.865934	2805.033203	378.185641	456.916342	8.303008	10.558560	10.214197	10.902922	64.180825	0.988977	828.136686	1037.938839	828.636686	1004.561161	4.093668	-14.814759	169300.728778	746.701423	226.731493	3277.032959	374.236776	453.700807	7.060156	10.100812	9.630578	10.571046	71.730291	0.986629	760.249166	1211.552084	760.749166	830.947916	4.091773	-14.804065	253255.154188	804.817040	314.674195	4349.711426	559.816801	454.250476	7.400676	10.109126	9.726551	10.491701	66.832195	0.988017	2315.575877	1047.050555	2316.075877	995.449445	4.093596	-15.050061	128435.577164	719.645629	178.470586	2313.585205	283.904958	453.434100	7.476014	10.193061	9.742671	10.643451	72.051117	0.988145	2170.503980	508.625098	2171.003980	1533.874902	4.099473	-15.026951	124200.597169	716.680755	173.299752	2342.022461	274.543597	456.871075	7.245181	10.051487	9.713795	10.389178	63.054324	0.987029	1066.457184	1961.958583	1066.957184	80.541417	4.083591	-14.852657	187608.348164	758.558965	247.322037	2779.126221	414.705500	449.673101	8.430115	10.348261	9.905647	10.790875	62.354490	0.977513	957.564250	954.823309	958.064250	1087.676691	4.094577	-14.835211	199375.607508	768.845258	259.318251	3257.609131	440.716854	455.549870	8.055136	10.292428	9.845606	10.739250	68.511908	0.985970
3	elp0m411-kb92-20211015-0419-e91_out.fits	3.000000	0.000000	59503.766165	2459503.766165	2459503.764427	2459503.770129	2459503.770923	2.174533	2.169913	27.308908	NaN	300.291000	4.093869	-14.925092	8.627815	12.000000	22.000000	33.000000	0.292084	0.687782	0.395351	0.598468	0.430887	0.411155	0.441368	0.469737	0.001909	0.004097	0.002125	0.002609	0.002869	0.002793	0.002233	0.002296	153.024108	167.875455	186.065820	229.411564	150.186331	147.232274	197.677637	204.629591	418288.712601	1250.956092	1538.140507	1061.685732	1538.640507	980.814268	4.093426	-14.926865	122175.316593	452.389342	709.891712	172.104160	1812.198853	270.066744	442.361079	1660.000000	8.578615	11.202712	10.950211	11.455213	60.718432	0.992537	1758.106764	1433.229967	1758.606764	609.270033	4.089375	-14.961745	170455.378006	742.749588	229.492390	2399.241699	376.789111	441.755554	9.067421	11.244104	10.939386	11.548822	67.270427	0.994038	829.601268	1038.355671	830.101268	1004.144329	4.093667	-14.814795	165370.951208	738.462832	223.939437	2523.588379	365.550060	440.163003	8.503974	10.679305	10.330979	11.027631	69.576378	0.992579	761.678241	1212.035888	762.178241	830.464112	4.091772	-14.804096	250332.223003	793.860658	315.335217	3563.998047	553.355704	439.174487	8.708663	10.816079	10.465231	11.166927	67.988644	0.991877	2317.204922	1047.504752	2317.704922	994.995248	4.093595	-15.050080	125960.404691	712.036107	176.901710	2009.501709	278.433626	442.378054	8.590629	10.773328	10.337851	11.208805	68.096291	0.987492	2171.956762	508.809846	2172.456762	1533.690154	4.099473	-15.026948	121872.929904	711.490532	171.292413	2051.185303	269.398323	442.248284	7.708987	10.831399	10.569971	11.092826	58.206997	0.988239	1067.874387	1962.396866	1068.374387	80.103134	4.083592	-14.852676	184619.263870	753.257032	245.094644	2447.589844	408.098173	437.884426	8.992394	10.903194	10.613380	11.193008	59.360251	0.987779	959.057621	955.193988	959.557621	1087.306012	4.094577	-14.835247	196485.830590	759.401411	258.737774	2853.376953	434.329044	441.106626	8.871837	11.023267	10.652412	11.394123	68.882540	0.991760
4	elp0m411-kb92-20211015-0420-e91_out.fits	4.000000	0.000000	59503.769771	2459503.769771	2459503.768034	2459503.773736	2459503.774530	2.114311	2.110083	28.160188	NaN	300.290000	4.093866	-14.925153	8.944972	12.000000	22.000000	33.000000	0.298090	0.692862	0.398762	0.604430	0.428932	0.409521	0.451890	0.478166	0.001928	0.004152	0.002151	0.002644	0.002881	0.002805	0.002264	0.002331	154.619815	166.876292	185.369749	228.619318	148.885360	145.988902	199.636199	205.173840	412217.115071	1241.235658	1537.939777	1060.982338	1538.439777	981.517662	4.093429	-14.926892	122877.607768	452.389342	703.321633	174.710406	1723.131348	271.619148	431.497170	1651.000000	9.079329	11.559058	11.311421	11.806694	59.877872	0.992554	1757.711677	1432.495907	1758.211677	610.004093	4.089378	-14.961726	168714.037158	737.158286	228.870841	2103.191895	372.939903	429.999791	9.510728	11.619325	11.461529	11.777120	52.622773	0.989335	829.421159	1037.725560	829.921159	1004.774440	4.093672	-14.814818	164376.371501	735.758480	223.410774	2335.230469	363.351556	428.635561	8.588308	11.063012	10.601371	11.524652	71.791905	0.989282	761.423578	1211.350193	761.923578	831.149807	4.091778	-14.804099	249156.520352	790.488345	315.193161	3042.718262	550.756831	427.571811	9.054748	11.200266	10.807924	11.592609	68.944710	0.991103	2316.647513	1046.770253	2317.147513	995.729747	4.093596	-15.050059	123737.953654	706.461111	175.151826	1790.281128	273.520930	430.199160	8.471330	11.318022	11.226889	11.409155	50.420025	0.992669	2171.441945	508.264890	2171.941945	1534.235110	4.099473	-15.026958	119765.124259	705.816066	169.683194	1846.773315	264.739049	432.394199	8.180275	11.164457	10.882083	11.446831	57.044159	0.984659	1067.680749	1961.681603	1068.180749	80.818397	4.083596	-14.852657	186276.938471	745.674489	249.809992	2164.508789	411.762438	425.241892	9.723189	11.430844	11.163097	11.698591	56.630419	0.985944	958.854410	954.583060	959.354410	1087.916940	4.094581	-14.835273	197108.200052	755.420975	260.924976	2594.343750	435.704783	428.794849	8.951869	11.313803	10.915040	11.712567	67.286818	0.989937
5	elp0m411-kb92-20211015-0421-e91_out.fits	5.000000	0.000000	59503.773415	2459503.773415	2459503.771678	2459503.777380	2459503.778174	2.058002	2.054177	29.006905	NaN	300.286000	4.093853	-14.924828	10.394138	12.000000	22.000000	33.000000	0.292918	0.674892	0.396546	0.595416	0.435301	0.415972	0.440964	0.464639	0.001994	0.004200	0.002213	0.002711	0.003012	0.002926	0.002319	0.002380	146.894954	160.691288	179.168573	219.607069	144.541232	142.179084	190.150581	195.267281	393279.754975	1225.718703	1538.365829	1060.822841	1538.865829	981.677159	4.093419	-14.926635	115198.684356	452.389342	697.210606	165.227957	1336.897949	254.645001	418.397594	1642.000000	10.765272	12.712786	12.461796	12.963775	61.663089	0.994839	1758.357211	1432.370985	1758.857211	610.129015	4.089365	-14.961513	158470.766477	727.571608	217.807793	1624.266235	350.297303	416.930720	10.628873	12.662157	12.476868	12.847445	56.974461	0.994804	829.709415	1037.658529	830.209415	1004.841471	4.093661	-14.814506	155953.399264	722.078566	215.978436	1687.481201	344.732700	415.138075	10.085099	12.564749	12.360768	12.768730	64.393830	0.997315	761.897297	1211.198739	762.397297	831.301261	4.091767	-14.803812	234165.000761	777.399536	301.215771	2253.127441	517.618297	414.627131	10.700421	12.547498	12.344505	12.750492	59.443809	0.995516	2317.385835	1046.593786	2317.885835	995.906214	4.093586	-15.049889	119274.757256	699.217930	170.583093	1446.921875	263.655100	417.623829	9.965508	12.433719	12.180434	12.687004	64.308417	0.995742	2172.173239	508.097459	2172.673239	1534.402541	4.099465	-15.026782	115534.231242	695.787454	166.048167	1421.673218	255.386722	418.069620	9.699181	12.343076	12.135878	12.550275	56.293033	0.992363	1068.135476	1961.704486	1068.635476	80.795514	4.083581	-14.852378	173422.027667	734.609964	236.073612	1717.353638	383.346846	412.109837	10.843779	12.658529	12.418778	12.898280	61.212023	0.995013	959.138086	954.552017	959.638086	1087.947983	4.094570	-14.834966	182732.925892	742.556604	246.086191	1861.171631	403.928450	419.548216	10.464971	12.524254	12.248867	12.799642	62.670395	0.994226
6	elp0m411-kb92-20211015-0422-e91_out.fits	6.000000	0.000000	59503.777028	2459503.777028	2459503.775290	2459503.780993	2459503.781786	2.006382	2.002875	29.831906	NaN	300.288000	4.093851	-14.924728	10.699723	12.000000	22.000000	33.000000	0.292445	0.690748	0.398240	0.598168	0.427884	0.412013	0.445758	0.464121	0.001944	0.004196	0.002176	0.002664	0.002923	0.002846	0.002279	0.002333	150.414056	164.632920	183.025093	224.537669	146.386998	144.748404	195.560206	198.896037	399921.351783	1220.419054	1538.840419	1060.788587	1539.340419	981.711413	4.093417	-14.926609	116955.183030	452.389342	690.803656	169.303075	1280.732788	258.527715	405.395477	1596.000000	11.106005	12.744066	12.482872	13.005260	66.126353	0.996287	1758.784953	1432.156944	1759.284953	610.343056	4.089365	-14.961480	163386.193986	724.244228	225.595438	1609.279541	361.162783	404.695946	11.272308	12.665226	12.416104	12.914348	61.844731	0.994974	830.455689	1037.651127	830.955689	1004.848873	4.093659	-14.814523	159264.595374	721.800966	220.648909	1651.226685	352.052050	403.408788	10.356417	12.446558	12.227477	12.665639	64.997905	0.997002	762.296796	1211.180113	762.796796	831.319887	4.091765	-14.803774	239220.263456	775.972472	308.284472	2223.507080	528.792881	405.441932	10.811699	12.409338	12.172541	12.646135	65.830431	0.996706	2317.928321	1046.455563	2318.428321	996.044437	4.093585	-15.049874	119841.616026	697.573903	171.797734	1495.625366	264.908133	406.472845	9.797676	12.515372	12.336097	12.694646	59.638172	0.996569	2172.700789	507.935379	2173.200789	1534.564621	4.099464	-15.026764	116693.541771	691.580519	168.734570	1415.108276	257.949361	406.804349	9.749904	12.452062	12.223495	12.680629	59.925611	0.994564	1068.413025	1961.595385	1068.913025	80.904615	4.083580	-14.852323	178268.094989	731.452911	243.717801	1726.186523	394.059007	399.891967	11.235452	12.501845	12.335800	12.667890	60.081442	0.997206	959.717534	954.491414	960.217534	1088.008586	4.094568	-14.834956	185611.712690	741.651530	250.268091	1866.218262	410.291966	408.323584	11.268319	12.476360	12.265701	12.687020	61.116744	0.995994
7	elp0m411-kb92-20211015-0423-e91_out.fits	7.000000	0.000000	59503.780637	2459503.780637	2459503.778900	2459503.784602	2459503.785396	1.958543	1.955340	30.641392	NaN	300.288000	4.093848	-14.924881	10.271280	12.000000	22.000000	33.000000	0.292734	0.684005	0.399402	0.607303	0.430675	0.414014	0.443324	0.469006	0.001884	0.004021	0.002104	0.002599	0.002831	0.002766	0.002203	0.002264	155.380077	170.110007	189.817416	233.632222	152.106993	149.671713	201.226969	207.117168	413333.726565	1219.491503	1539.303342	1059.918709	1539.803342	982.581291	4.093423	-14.926839	120996.726981	452.389342	692.067285	174.833762	1477.206665	267.461489	396.915608	1641.000000	10.203283	12.173702	11.961475	12.385930	62.061210	0.996139	1759.166403	1431.466719	1759.666403	611.033281	4.089371	-14.961713	167886.826919	723.107696	232.174029	1812.901367	371.111366	395.470411	10.309710	12.154108	12.106589	12.201627	48.917596	0.996710	830.639104	1036.737487	831.139104	1005.762513	4.093663	-14.814724	165086.480256	720.530261	229.118039	1851.859741	364.921241	391.906962	10.092925	11.883073	11.782234	11.983912	53.957703	0.996956	762.692006	1210.458153	763.192006	832.041847	4.091767	-14.804021	251018.878208	778.386857	322.486018	2582.869385	554.873546	391.844546	10.577899	11.854149	11.780404	11.927895	51.795949	0.997197	2318.269084	1045.446185	2318.769084	997.053815	4.093596	-15.050065	124425.516200	694.887570	179.058486	1518.309082	275.040777	395.841413	10.574429	11.850568	11.789110	11.912025	49.854488	0.996218	2173.199116	506.924768	2173.699116	1535.575232	4.099474	-15.026953	121021.383446	693.834310	174.424040	1599.432739	267.515992	395.581430	9.473387	11.793867	11.712526	11.875208	51.150527	0.995809	1068.897557	1960.904787	1069.397557	81.595213	4.083584	-14.852618	183240.781858	732.764197	250.067870	1901.049316	405.051058	390.175233	10.566761	12.014104	11.943997	12.084212	49.885468	0.995271	960.065496	953.569815	960.565496	1088.930185	4.094573	-14.835176	193856.007626	740.890904	261.652568	2112.795898	428.515859	395.908405	10.371845	11.946505	11.797900	12.095110	60.178924	0.997578
8	elp0m411-kb92-20211015-0424-e91_out.fits	8.000000	0.000000	59503.784237	2459503.784237	2459503.782499	2459503.788202	2459503.788996	1.914240	1.911303	31.433601	NaN	300.289000	4.093841	-14.924744	9.773201	12.000000	22.000000	33.000000	0.292068	0.684758	0.398982	0.604727	0.429001	0.415121	0.447028	0.469766	0.001811	0.003879	0.002029	0.002502	0.002716	0.002663	0.002136	0.002185	161.295563	176.522408	196.629379	241.688808	157.948685	155.858655	209.296277	215.041270	428154.651074	1216.105130	1539.993187	1059.262799	1540.493187	983.237201	4.093424	-14.926810	125050.142808	452.389342	689.138236	181.458721	1612.202759	276.421505	385.363700	1661.000000	10.480238	11.784218	11.596501	11.971935	55.145476	0.991564	1760.003303	1430.798303	1760.503303	611.701697	4.089372	-14.961705	174020.437361	724.010625	240.356193	2071.694336	384.669622	383.337841	10.195434	11.799591	11.577541	12.021640	56.183951	0.990226	831.497663	1036.176598	831.997663	1006.323402	4.093663	-14.814719	170825.964228	720.652978	237.043306	2136.508057	377.608286	382.304088	9.645007	11.375332	11.041824	11.708840	65.568742	0.992069	763.508526	1209.947025	764.008526	832.552975	4.091766	-14.804008	258916.861620	778.982705	332.378190	2886.105957	572.331922	382.130334	9.756085	11.354759	11.126502	11.583015	58.348421	0.991998	2319.111174	1044.948223	2319.611174	997.551777	4.093595	-15.050064	128536.548066	691.410012	185.904956	1805.365601	284.128153	385.244501	8.818863	11.362255	11.044508	11.680003	59.837477	0.987257	2173.937458	506.327750	2174.437458	1536.172250	4.099474	-15.026938	125597.665647	690.414728	181.916261	1751.215454	277.631796	384.302928	8.857115	11.238462	11.063756	11.413167	54.646222	0.991149	1069.671976	1960.186381	1070.171976	82.313619	4.083585	-14.852594	191397.165833	735.347412	260.281280	2171.005859	423.080626	378.665854	9.997820	11.556955	11.375620	11.738290	53.539834	0.988589	960.930565	953.001747	961.430565	1089.498253	4.094573	-14.835173	201132.433128	740.579248	271.587995	2325.152588	444.600291	384.069938	10.435048	11.518578	11.259790	11.777366	60.212591	0.992135
9	elp0m411-kb92-20211015-0425-e91_out.fits	9.000000	0.000000	59503.787842	2459503.787842	2459503.786104	2459503.791807	2459503.792601	1.873078	1.870321	32.210705	NaN	300.287000	4.093843	-14.924958	10.002417	12.000000	22.000000	33.000000	0.297126	0.679130	0.396396	0.606206	0.438079	0.410275	0.443419	0.467249	0.001820	0.003855	0.002026	0.002508	0.002758	0.002642	0.002130	0.002181	163.275865	176.152348	195.674748	241.675965	158.864950	155.286571	208.174516	214.260432	424796.120845	1207.623615	1538.839154	1059.363745	1539.339154	983.136255	4.093425	-14.926842	126218.060640	452.389342	684.715057	184.336622	1570.081421	279.003170	373.634267	1682.000000	10.551916	12.023158	11.664440	12.381876	64.618811	0.991117	1758.876331	1430.963766	1759.376331	611.536234	4.089373	-14.961734	171810.260456	719.206692	238.888573	2079.442383	379.784059	373.030446	10.285303	11.951684	11.742984	12.160385	55.701945	0.990847	830.472234	1036.311415	830.972234	1006.188585	4.093664	-14.814793	168387.278057	715.115636	235.468601	2078.098633	372.217606	373.509817	9.690052	11.551345	11.184747	11.917943	64.997153	0.990267	762.390969	1210.073192	762.890969	832.426808	4.091767	-14.804068	257513.782739	774.233386	332.604855	2897.089355	569.230437	371.564422	9.905345	11.523913	11.230517	11.817309	61.873179	0.991609	2317.923981	1045.098930	2318.423981	997.401070	4.093594	-15.050068	129404.806211	689.010891	187.812425	1682.827148	286.047425	372.234127	9.586709	11.592538	11.314137	11.870939	58.881380	0.989380	2172.769777	506.450921	2173.269777	1536.049079	4.099473	-15.026952	123581.054178	682.905940	180.963507	1734.456421	273.174106	374.779370	9.128977	11.486293	11.335033	11.637554	52.449314	0.989510	1068.505338	1960.417489	1069.005338	82.082511	4.083587	-14.852634	188362.510680	729.366285	258.255028	2107.037109	416.372565	371.803185	10.341894	11.618708	11.382035	11.855382	56.455718	0.989058	959.865678	953.179384	960.365678	1089.320616	4.094573	-14.835237	198485.538740	734.697622	270.159495	2317.510498	438.749370	375.182677	10.529143	11.628317	11.277313	11.979321	60.829015	0.986793
10	elp0m411-kb92-20211015-0426-e91_out.fits	10.000000	0.000000	59503.791442	2459503.791442	2459503.789704	2459503.795408	2459503.796201	1.834776	1.832225	32.970521	NaN	300.289000	4.093837	-14.924886	10.069129	12.000000	22.000000	33.000000	0.294332	0.680265	0.398396	0.607334	0.436843	0.410665	0.447054	0.467342	0.001776	0.003778	0.001989	0.002462	0.002691	0.002586	0.002091	0.002140	165.687435	180.074528	200.344244	246.674466	162.361283	158.791321	213.804854	218.411072	432828.864566	1203.573110	1539.290525	1058.801933	1539.790525	983.698067	4.093425	-14.926839	127395.344115	452.389342	682.420811	186.681505	1549.134521	281.605538	366.168139	1596.000000	10.369337	11.785545	11.577052	11.994037	55.419905	0.990115	1759.149107	1430.336811	1759.649107	612.163189	4.089373	-14.961701	175233.310879	717.538579	244.214480	2064.550781	387.350661	366.163242	10.414202	11.683317	11.582692	11.783942	50.315080	0.991282	830.821538	1035.791486	831.321538	1006.708514	4.093664	-14.814760	172437.252304	714.768379	241.249134	2118.558594	381.170015	363.338179	9.965481	11.407840	11.266727	11.548952	55.450221	0.995192	762.811497	1209.520234	763.311497	832.979766	4.091768	-14.804043	262871.498696	775.446275	338.993825	2903.811035	581.073589	362.096542	10.325035	11.390830	11.256352	11.525308	54.876021	0.995120	2318.372562	1044.486023	2318.872562	998.013977	4.093595	-15.050078	131592.867385	685.705056	191.908848	1753.560913	290.884102	362.850969	9.412794	11.359033	11.220998	11.497069	53.199276	0.992591	2173.136238	505.783376	2173.636238	1536.716624	4.099475	-15.026953	126002.686302	680.834190	185.071032	1706.250977	278.527088	364.367463	9.041181	11.117258	11.052480	11.182037	48.014157	0.987687	1069.027423	1959.824190	1069.527423	82.675810	4.083587	-14.852621	193497.963226	727.703596	265.902167	2206.455322	427.724407	359.603556	10.451742	11.419622	11.353134	11.486111	48.350688	0.990043	960.122677	952.606408	960.622677	1089.893592	4.094574	-14.835194	202279.200187	735.765387	274.923506	2277.592285	447.135203	364.639604	10.573260	11.543954	11.440949	11.646960	50.627062	0.991640
