                       TFOP NEB Search Table for:

           381789320.01_20210805_Brierfield036m_I_3pix_measurements.xls

                 Created by AIJ macro Revision 2.25
                          on 2021-08-09
          ------------------------------------------------
                    Pixel Scale (arc-seconds/pixel): 1.47
                    Predicted ingress time: 0.96875000
                    Predicted egress time:  1.09375001
                    Target predicted depth: 7.1
                    Target Star: T1
                    Search Radius: 2.5
                    Duration of Observation (min.): 528.1
                    Number of Images: 114
                    Average Exposure Plus Delay Time (sec.): 277.9
                    Cadence Requested When Calculating RMS (sec.): 650.0
                    Binning Used When Calculating RMS: 2
                    Average Aperture Radius: 3.0 (pixels); 4.4 (arc-seconds)
                    Dmag correction factor to account for difference with TESS band:-0.5

      Separation             Uncorr.
Star  from target  PA (deg.)  dmag   RMS(ppt)  NEBdepth(ppt)  NEBdepth/RMS    Disposition
 T2      0'06"       NA      2.009    247.12           28.5       0.1      ***Not Cleared***
 T3      0'23"       NA      5.328     75.64          605.8       8.0      Cleared
 T4      0'24"       NA      5.172     98.23          525.1       5.3      Cleared
 T5      0'28"       NA      3.981     31.36          175.2       5.6      Cleared
 T6      0'29"       NA      2.851     36.66           61.9       1.7      ***Not Cleared***
 T7      0'27"       NA      5.390    102.10          641.4       6.3      Cleared
 T8      0'31"       NA      4.414    154.32          261.1       1.7      ***Not Cleared***
 T9      0'33"       NA      4.345     50.09          245.1       4.9      Likely cleared
T10      0'33"       NA      6.226    175.40         1385.5       7.9      Cleared-too faint
T11      0'39"       NA      4.741     71.17          352.8       5.0      Likely cleared
T12      0'40"       NA      4.929     89.59          419.5       4.7      Likely cleared
T13      0'41"       NA      5.525     93.72          726.6       7.8      Cleared
T14      0'39"       NA      4.507     58.47          284.4       4.9      Likely cleared
T15      0'42"       NA      5.500     86.24          709.7       8.2      Cleared
T16      0'42"       NA      5.691    103.08          846.8       8.2      Cleared
T17      0'46"       NA      3.588    109.92          122.1       1.1      ***Not Cleared***
T18      0'48"       NA      3.286     24.45           92.4       3.8      Likely cleared
T19      0'50"       NA      5.191     74.60          534.1       7.2      Cleared
T20      0'51"       NA      2.214    200.28           34.4       0.2      ***Not Cleared***
T21      0'52"       NA      1.266     38.97           14.4       0.4      ***Not Cleared***
T22      0'53"       NA      1.421     24.42           16.6       0.7      ***Not Cleared***
T23      0'55"       NA      3.552     43.77          118.0       2.7      ***Not Cleared***
T24      0'55"       NA      4.098     55.41          195.2       3.5      Likely cleared
T25      0'55"       NA      5.325    156.15          604.2       3.9      Likely cleared
T26      0'56"       NA      5.932    142.57         1056.9       7.4      Cleared-too faint
T27      0'57"       NA      3.933     50.01          167.7       3.4      Likely cleared
T28      0'56"       NA      1.263    382.74           14.3       0.0      ***Not Cleared***
T29      0'55"       NA      3.871     34.26          158.3       4.6      Likely cleared
T30      0'57"       NA      4.578    122.75          303.8       2.5      ***Not Cleared***
T31      0'56"       NA      1.954    377.97           27.1       0.1      ***Not Cleared***
T32      1'01"       NA      5.728    113.46          875.7       7.7      Cleared
T33      0'59"       NA      4.098     91.76          195.1       2.1      ***Not Cleared***
T34      0'59"       NA     -0.868     27.09            2.0       0.1      ***Not Cleared***
T35      1'03"       NA      2.727     45.25           55.2       1.2      ***Not Cleared***
T36      1'01"       NA      4.223     35.14          219.0       6.2      Cleared
T37      1'02"       NA      2.718     26.95           54.8       2.0      ***Not Cleared***
T38      1'02"       NA      5.317     93.16          599.9       6.4      Cleared
T39      1'03"       NA      2.704     23.30           54.1       2.3      ***Not Cleared***
T40      1'11"       NA      5.596    107.30          775.7       7.2      Cleared
T41      1'09"       NA      5.240     92.25          558.9       6.1      Cleared
T42      1'10"       NA      5.320     94.98          601.7       6.3      Cleared
T43      1'11"       NA      4.722    119.36          346.7       2.9      ***Not Cleared***
T44      1'12"       NA      4.087     78.39          193.2       2.5      ***Not Cleared***
T45      1'12"       NA      4.828    111.55          382.5       3.4      Likely cleared
T46      1'16"       NA      5.062     65.27          474.2       7.3      Cleared
T47      1'16"       NA      4.492    105.61          280.5       2.7      ***Not Cleared***
T48      1'17"       NA      4.296     63.77          234.3       3.7      Likely cleared
T49      1'15"       NA      4.560     43.89          298.7       6.8      Cleared
T50      1'18"       NA      3.000     98.10           71.0       0.7      ***Not Cleared***
T51      1'16"       NA      4.110     39.04          197.4       5.1      Cleared
