Target = TOI3645
Date_Obs [UT] = 2021-09-20
Telescope = Palomar-5m
Instrument = PHARO
Filter = Brgamma
Pixel_Scale [arsec/pix] = 0.025
PSF_FWHM [arcsec] = 0.0935938
PI: Ciardi
arcsec, dmag, dmrms
0.000, 0.000, 0.000
0.103, 2.410, 0.786
0.195, 3.231, 0.286
0.285, 5.961, 0.347
0.376, 6.664, 0.158
0.470, 6.485, 0.203
0.562, 6.945, 0.126
0.656, 6.893, 0.108
0.750, 6.887, 0.126
0.846, 6.946, 0.042
0.938, 6.982, 0.078
1.030, 6.959, 0.085
1.124, 6.972, 0.077
1.219, 6.994, 0.054
1.310, 6.985, 0.069
1.404, 7.029, 0.060
1.500, 7.003, 0.052
1.592, 7.003, 0.043
1.685, 7.025, 0.077
1.778, 7.011, 0.057
1.874, 7.005, 0.050
1.966, 6.987, 0.046
2.059, 7.027, 0.052
2.153, 6.999, 0.055
2.247, 7.022, 0.073
2.340, 7.008, 0.042
2.434, 7.032, 0.042
2.528, 7.023, 0.048
2.620, 6.986, 0.052
2.714, 7.051, 0.038
2.808, 7.021, 0.042
2.902, 7.009, 0.040
2.996, 7.040, 0.031
3.089, 6.995, 0.034
3.183, 7.008, 0.035
3.276, 7.015, 0.028
3.370, 7.006, 0.042
3.463, 7.010, 0.045
3.556, 7.016, 0.039
3.650, 7.049, 0.040
3.745, 6.998, 0.029
3.838, 7.012, 0.042
3.930, 7.025, 0.043
4.025, 7.010, 0.034
4.119, 7.011, 0.049
4.211, 7.012, 0.043
4.306, 7.020, 0.026
4.400, 7.039, 0.041
4.493, 7.005, 0.039
4.586, 7.003, 0.039
4.680, 7.027, 0.034
4.774, 7.002, 0.022
4.866, 7.017, 0.034
4.961, 7.024, 0.045
5.055, 6.996, 0.037
5.148, 7.003, 0.040
5.241, 7.007, 0.044
5.335, 7.009, 0.035
5.429, 7.012, 0.027
5.522, 7.013, 0.034
5.616, 7.003, 0.038
5.710, 7.006, 0.032
5.803, 7.014, 0.034
5.896, 7.016, 0.035
5.991, 7.003, 0.024
6.083, 7.009, 0.026
6.177, 7.016, 0.039
6.271, 7.025, 0.028
6.365, 6.997, 0.033
6.458, 7.012, 0.029
6.552, 7.023, 0.033
6.646, 7.026, 0.034
6.739, 7.010, 0.041
6.832, 7.009, 0.035
6.926, 7.015, 0.044
7.020, 7.001, 0.033
7.113, 6.996, 0.041
7.207, 6.992, 0.037
7.301, 6.966, 0.045
7.394, 6.988, 0.044
7.488, 6.999, 0.034
7.581, 6.983, 0.040
7.675, 6.973, 0.060
7.768, 6.971, 0.068
7.862, 6.958, 0.068
7.956, 6.989, 0.076
8.050, 6.980, 0.044
8.143, 6.987, 0.066
8.237, 6.959, 0.073
8.330, 6.979, 0.063
8.424, 6.940, 0.066
8.517, 6.946, 0.081
8.611, 6.939, 0.072
8.704, 6.970, 0.087
8.799, 6.917, 0.099
8.892, 6.939, 0.101
8.985, 6.926, 0.089
9.079, 6.929, 0.099
9.173, 6.936, 0.090
9.266, 6.923, 0.094
9.359, 6.920, 0.095
9.453, 6.946, 0.125
9.547, 6.871, 0.110
9.640, 6.915, 0.115
9.734, 6.923, 0.089
9.828, 6.910, 0.111
