Target = TOI3645
Date_Obs [UT] = 2021-09-20
Telescope = Palomar-5m
Instrument = PHARO
Filter = Hcont
Pixel_Scale [arsec/pix] = 0.025
PSF_FWHM [arcsec] = 0.0798713
PI: Ciardi
arcsec, dmag, dmrms
0.000, 0.000, 0.000
0.089, 2.815, 0.863
0.160, 3.329, 0.692
0.245, 6.041, 0.378
0.324, 6.427, 0.239
0.403, 7.049, 0.217
0.481, 7.520, 0.228
0.559, 7.462, 0.213
0.639, 7.605, 0.186
0.721, 7.822, 0.253
0.800, 7.831, 0.141
0.879, 7.905, 0.143
0.958, 7.917, 0.111
1.039, 7.977, 0.098
1.120, 8.046, 0.073
1.200, 8.014, 0.077
1.278, 8.025, 0.087
1.357, 8.033, 0.110
1.437, 8.047, 0.065
1.520, 8.048, 0.064
1.599, 8.066, 0.073
1.678, 8.094, 0.036
1.757, 8.104, 0.062
1.837, 8.102, 0.064
1.917, 8.094, 0.055
1.999, 8.099, 0.065
2.077, 8.081, 0.049
2.157, 8.141, 0.036
2.236, 8.096, 0.058
2.317, 8.114, 0.062
2.397, 8.117, 0.047
2.476, 8.133, 0.062
2.555, 8.085, 0.053
2.636, 8.102, 0.045
2.716, 8.072, 0.046
2.797, 8.113, 0.043
2.876, 8.114, 0.034
2.955, 8.098, 0.050
3.034, 8.106, 0.033
3.115, 8.094, 0.054
3.196, 8.083, 0.040
3.276, 8.098, 0.064
3.355, 8.113, 0.046
3.434, 8.108, 0.049
3.514, 8.102, 0.041
3.595, 8.113, 0.044
3.675, 8.109, 0.042
3.754, 8.108, 0.040
3.834, 8.097, 0.033
3.913, 8.119, 0.045
3.994, 8.118, 0.053
4.074, 8.115, 0.042
4.154, 8.113, 0.029
4.233, 8.133, 0.043
4.313, 8.120, 0.048
4.394, 8.115, 0.044
4.474, 8.108, 0.057
4.553, 8.108, 0.033
4.632, 8.109, 0.036
4.712, 8.104, 0.056
4.793, 8.097, 0.045
4.873, 8.115, 0.037
4.952, 8.109, 0.046
5.032, 8.108, 0.048
5.111, 8.121, 0.041
5.192, 8.113, 0.033
5.272, 8.132, 0.037
5.352, 8.107, 0.041
5.431, 8.116, 0.031
5.511, 8.106, 0.037
5.591, 8.118, 0.044
5.671, 8.115, 0.033
5.751, 8.125, 0.031
5.830, 8.119, 0.033
5.910, 8.115, 0.044
5.991, 8.109, 0.047
6.071, 8.117, 0.043
6.151, 8.126, 0.038
6.230, 8.111, 0.037
6.309, 8.124, 0.045
6.389, 8.115, 0.042
6.470, 8.114, 0.035
6.550, 8.123, 0.036
6.630, 8.095, 0.039
6.709, 8.111, 0.029
6.789, 8.108, 0.029
6.869, 8.096, 0.032
6.949, 8.114, 0.042
7.029, 8.108, 0.032
7.108, 8.082, 0.040
7.188, 8.095, 0.032
7.269, 8.113, 0.048
7.349, 8.082, 0.044
7.428, 8.080, 0.045
7.507, 8.075, 0.041
7.587, 8.093, 0.050
7.668, 8.098, 0.057
7.748, 8.091, 0.065
7.828, 8.085, 0.051
7.907, 8.086, 0.047
7.987, 8.075, 0.056
8.067, 8.078, 0.084
8.148, 8.078, 0.075
8.227, 8.045, 0.076
8.307, 8.060, 0.071
8.386, 8.045, 0.062
8.466, 8.064, 0.068
8.546, 8.047, 0.076
8.626, 8.061, 0.071
8.706, 8.043, 0.083
8.786, 8.058, 0.078
8.866, 8.039, 0.076
8.946, 8.058, 0.081
9.026, 8.026, 0.088
9.105, 8.021, 0.107
9.185, 7.990, 0.090
9.265, 8.043, 0.101
9.346, 7.992, 0.095
9.425, 8.005, 0.092
9.505, 7.997, 0.083
9.584, 8.041, 0.103
9.664, 8.036, 0.094
9.744, 7.999, 0.112
9.825, 8.025, 0.102
9.904, 8.005, 0.109
